node_number,X,Y,Z,amplitude,mean,gas_load,inertia_load
258,96.48369921,-19.82790423,51.6,10.7184051,7.651576109,15400000,1000
259,93.98271676,-29.48726761,51.6,13.07959723,9.337166586,15400000,1000
260,90.51734444,-38.84405173,51.6,15.00626364,10.71256096,15400000,1000
261,86.12314169,-47.80224331,51.6,15.01910688,10.7217294,15400000,1000
262,80.84519896,-56.26991919,51.6,14.78028209,10.55123898,15400000,1000
263,74.73767509,-64.16018955,51.6,15.44848258,11.02824897,15400000,1000
264,67.86324153,-71.39208954,51.6,16.29291964,-11.63106943,15400000,1000
265,60.29243928,-77.89141009,51.6,19.06073333,-13.60693588,15400000,1000
266,52.10295502,-83.59145936,51.6,20.38706571,-14.55376831,15400000,1000
267,43.37882393,-88.43374715,51.6,21.49762477,-15.34656604,15400000,1000
268,34.20956741,-92.36858502,51.6,22.2630839,-15.89300655,15400000,1000
269,24.68927443,-95.35559621,51.6,24.50232938,-17.49154247,15400000,1000
270,14.91563608,-97.36412995,51.6,28.28186805,-20.18965171,15400000,1000
271,4.988943131,-98.37357596,51.6,33.53736295,-23.94140564,15400000,1000
272,-4.988943131,-98.37357596,51.6,39.51408536,-28.20802435,15400000,1000
273,-14.91563608,-97.36412995,51.6,44.59496489,-31.83512507,15400000,1000
274,-24.68927443,-95.35559621,51.6,46.58032741,-33.25242114,15400000,1000
275,-34.20956741,-92.36858502,51.6,45.79267318,-32.6901363,15400000,1000
276,-43.37882393,-88.43374715,51.6,44.06670387,-31.45801405,15400000,1000
277,-52.10295502,-83.59145936,51.6,43.25670486,-30.87977787,15400000,1000
278,-60.29243928,-77.89141009,51.6,42.86977766,-30.60356125,15400000,1000
279,-67.86324153,-71.39208954,51.6,38.77218346,-27.67840068,15400000,1000
280,-74.73767509,-64.16018955,51.6,29.95710576,21.38555796,15400000,1000
281,-80.84519896,-56.26991919,51.6,20.7381836,14.8044219,15400000,1000
282,-86.12314169,-47.80224331,51.6,17.27381316,12.33130251,15400000,1000
283,-90.51734444,-38.84405173,51.6,15.42042327,11.00821819,15400000,1000
284,-93.98271676,-29.48726761,51.6,14.36057345,10.25162045,15400000,1000
285,-96.48369921,-19.82790423,51.6,14.72976294,10.5151747,15400000,1000
286,-97.99462835,-9.965079716,51.6,14.85216422,10.60255359,15400000,1000
287,-84.37080935,-85.85335971,8.67e-16,103.6164567,-73.96895295,15400000,1000
288,45.43259774,-194.7713507,-1.1800000000000001e-29,3.624803252,-2.587647841,15400000,1000
289,-76.73531482,-92.26030036,8.16e-16,39.43272094,-28.14994036,15400000,1000
290,-69.09982028,-98.66724101,7.65e-16,22.14675616,15.80996327,15400000,1000
291,-61.46432575,-105.0741817,7.14e-16,51.23245392,36.57344684,15400000,1000
292,-53.82883121,-111.4811223,6.63e-16,70.38619766,50.24678071,15400000,1000
293,-46.19333668,-117.888063,6.12e-16,76.57380414,54.66394338,15400000,1000
294,-38.55784214,-124.2950036,5.61e-16,74.41700241,53.12426159,15400000,1000
295,-30.92234761,-130.7019442,5.1e-16,66.65303539,47.5817779,15400000,1000
296,-23.28685307,-137.1088849,4.59e-16,56.54423424,40.36538175,15400000,1000
297,-15.65135854,-143.5158255,4.08e-16,45.45493077,32.44903124,15400000,1000
298,-8.015864005,-149.9227662,3.57e-16,34.75299364,24.80921116,15400000,1000
299,-0.380369471,-156.3297068,3.06e-16,25.35240093,18.09838524,15400000,1000
300,7.255125064,-162.7366475,2.55e-16,16.97235321,12.11609851,15400000,1000
301,14.8906196,-169.1435881,2.04e-16,10.30751543,7.358253196,15400000,1000
302,22.52611413,-175.5505288,1.53e-16,5.618334803,4.010775461,15400000,1000
303,30.16160867,-181.9574694,1.02e-16,3.384427798,-2.416050391,15400000,1000
304,37.7971032,-188.3644101,5.1e-17,2.885521978,-2.059895169,15400000,1000
305,-77.61491813,-88.78972316,-23.92559428,87.21078423,-62.25739223,15400000,1000
306,-79.86688187,-87.81093535,-15.95039618,85.54543184,-61.06854283,15400000,1000
307,-82.11884561,-86.83214753,-7.975198092,98.80159667,-70.53175605,15400000,1000
308,47.22659076,-192.6333531,-31.90079237,0.284476616,-0.203080072,15400000,1000
309,39.56614633,-186.205477,-31.90079237,1.658062,-1.183645089,15400000,1000
310,31.9057019,-179.7776009,-31.90079237,3.69604857,-2.638507933,15400000,1000
311,24.24525747,-173.3497248,-31.90079237,5.573969166,3.979104072,15400000,1000
312,16.58481303,-166.9218487,-31.90079237,9.940205852,7.096040948,15400000,1000
313,8.924368603,-160.4939726,-31.90079237,14.8532701,10.6033431,15400000,1000
314,1.263924172,-154.0660965,-31.90079237,22.0175359,15.71771636,15400000,1000
315,-6.39652026,-147.6382204,-31.90079237,30.08031329,21.47351256,15400000,1000
316,-14.05696469,-141.2103443,-31.90079237,39.86494203,28.4584911,15400000,1000
317,-21.71740912,-134.7824682,-31.90079237,49.61334737,35.41761126,15400000,1000
318,-29.37785355,-128.3545921,-31.90079237,58.00096142,41.40529919,15400000,1000
319,-37.03829798,-121.926716,-31.90079237,66.57404882,47.52539162,15400000,1000
320,-44.69874242,-115.4988399,-31.90079237,69.10037789,49.32886897,15400000,1000
321,-52.35918685,-109.0709638,-31.90079237,65.68781184,46.89273155,15400000,1000
322,-60.01963128,-102.6430877,-31.90079237,53.7064792,38.33958584,15400000,1000
323,-67.68007571,-96.21521164,-31.90079237,39.68219473,28.32803273,15400000,1000
324,45.88109599,-194.2368513,-7.975198092,3.942477914,-2.814427092,15400000,1000
325,46.32959425,-193.7023519,-15.95039618,2.22362741,-1.587386768,15400000,1000
326,46.7780925,-193.1678525,-23.92559428,0.823197279,-0.58765801,15400000,1000
327,-73.16912297,-87.19956516,-35.60375949,108.9330095,-77.7642945,15400000,1000
328,49.39798793,-190.0455827,-35.60375949,0.876701794,-0.625853421,15400000,1000
329,41.7375435,-183.6177066,-35.60375949,2.203752699,-1.573198739,15400000,1000
330,34.07709907,-177.1898305,-35.60375949,5.070393492,-3.619615172,15400000,1000
331,26.41665464,-170.7619544,-35.60375949,8.8244732,6.299549921,15400000,1000
332,18.75621021,-164.3340783,-35.60375949,12.92949257,9.230010923,15400000,1000
333,11.09576578,-157.9062022,-35.60375949,17.09783866,12.20567916,15400000,1000
334,3.435321345,-151.4783261,-35.60375949,23.53273448,16.79937515,15400000,1000
335,-4.225123086,-145.05045,-35.60375949,28.45901687,20.31611349,15400000,1000
336,-11.88556752,-138.6225739,-35.60375949,34.05255443,24.30918682,15400000,1000
337,-19.54601195,-132.1946978,-35.60375949,40.69668829,29.05225218,15400000,1000
338,-27.20645638,-125.7668217,-35.60375949,46.385851,33.11358979,15400000,1000
339,-34.86690081,-119.3389456,-35.60375949,48.3776326,34.53546799,15400000,1000
340,-42.52734524,-112.9110696,-35.60375949,51.48987232,36.75721072,15400000,1000
341,-50.18778967,-106.4831935,-35.60375949,52.64603144,37.58256131,15400000,1000
342,-57.8482341,-100.0553174,-35.60375949,56.21102817,40.1275148,15400000,1000
343,-65.50867854,-93.62744126,-35.60375949,69.39327551,49.53796046,15400000,1000
344,47.8936161,-191.8384232,-34.3464718,0.472207196,-0.337095795,15400000,1000
345,-98.17399029,-66.21799022,-35.60375949,91.38666766,-65.23844123,15400000,1000
346,-91.92277346,-71.46338395,-35.60375949,105.8294125,-75.54872154,15400000,1000
347,-85.67155663,-76.70877769,-35.60375949,114.6483851,-81.84434475,15400000,1000
348,-79.4203398,-81.95417143,-35.60375949,106.2020731,-75.8147539,15400000,1000
349,-108.0,-32.64153607,51.6,31.36909481,-22.3935385,15400000,1000
350,-94.42592917,-61.75122491,51.6,47.93335461,-34.21831008,15400000,1000
351,-107.0992483,-40.8662414,51.6,32.52301317,-23.21728908,15400000,1000
352,-104.4396959,-48.70103002,51.6,35.39411429,-25.26688959,15400000,1000
