node_number,X,Y,Z
342,-57.8482341,-100.0553174,-35.60375949
343,-65.50867854,-93.62744126,-35.60375949
344,47.8936161,-191.8384232,-34.3464718
345,-98.17399029,-66.21799022,-35.60375949
346,-91.92277346,-71.46338395,-35.60375949
347,-85.67155663,-76.70877769,-35.60375949
348,-79.4203398,-81.95417143,-35.60375949
349,-108,-32.64153607,51.6
350,-94.42592917,-61.75122491,51.6
351,-107.0992483,-40.8662414,51.6
352,-104.4396959,-48.70103002,51.6
353,-100.1474269,-55.77447037,51.6
354,53.14604905,-185.5788174,51.6
355,-87.04733026,-67.94260453,51.6
356,-79.66873135,-74.13398416,51.6
357,-72.29013243,-80.32536378,51.6
358,-64.91153352,-86.51674341,51.6
359,-57.53293461,-92.70812303,51.6
360,-50.1543357,-98.89950266,51.6
361,-42.77573679,-105.0908823,51.6
362,-35.39713788,-111.2822619,51.6
363,-28.01853897,-117.4736415,51.6
364,-20.63994006,-123.6650212,51.6
365,-13.26134115,-129.8564008,51.6
366,-5.882742236,-136.0477804,51.6
367,1.495856676,-142.23916,51.6
368,8.874455587,-148.4305397,51.6
369,16.2530545,-154.6219193,51.6
370,23.63165341,-160.8132989,51.6
371,31.01025232,-167.0046785,51.6
372,38.38885123,-173.1960582,51.6
373,45.76745014,-179.3874378,51.6
374,66.96598266,-169.1088619,51.6
375,62.35933813,-174.5988471,51.6
376,57.75269359,-180.0888322,51.6
377,178.1682391,-36.58317322,51.6
378,66.32306077,-159.4728477,51.6
379,66.45708628,-149.8163393,51.6
380,67.36719112,-140.2018801,51.6
381,69.04748072,-130.691741,51.6
382,71.48707215,-121.3475176,51.6
383,74.67016464,-112.2297306,51.6
384,78.57614189,-103.3974343,51.6
385,83.1797056,-94.90783366,51.6
386,88.45103937,-86.81591437,51.6
387,94.35600173,-79.17408625,51.6
388,100.8563474,-72.03184401,51.6
389,107.9099747,-65.43544661,51.6
390,115.4711988,-59.4276177,51.6
391,123.4910469,-54.04726885,51.6
392,131.917576,-49.32924759,51.6
393,140.696209,-45.30411167,51.6
394,149.7700884,-41.99793113,51.6
395,159.0804444,-39.4321195,51.6
